 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
,,,,,, 中華民國110年底 ,,,,,,,,,,,,,, 中華民國110年底 ,,,,,,,,   單位：人 
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ," 23,375,314 "," 149,318 "," 716,422 "," 162,327 "," 176,850 "," 181,727 "," 195,518 "," 1,064,421 "," 959,747 "," 1,097,734 "," 1,424,724 "," 1,591,242 "," 1,585,715 "," 1,771,182 "," 1,998,162 "," 1,801,686 "," 1,777,772 "," 1,814,760 "," 1,683,396 "," 1,465,460 "," 1,022,956 "," 575,598 "," 460,369 "," 258,508 "," 120,495 "," 30,909 "," 4,738 "
 總　　計 , 男 ," 11,578,696 "," 77,117 "," 371,158 "," 84,284 "," 91,675 "," 93,923 "," 101,276 "," 551,480 "," 500,477 "," 574,085 "," 741,685 "," 825,351 "," 819,451 "," 884,401 "," 985,293 "," 882,337 "," 873,204 "," 886,769 "," 813,629 "," 696,974 "," 476,519 "," 256,442 "," 192,117 "," 102,595 "," 52,177 "," 13,336 "," 2,099 "
, 女 ," 11,796,618 "," 72,201 "," 345,264 "," 78,043 "," 85,175 "," 87,804 "," 94,242 "," 512,941 "," 459,270 "," 523,649 "," 683,039 "," 765,891 "," 766,264 "," 886,781 "," 1,012,869 "," 919,349 "," 904,568 "," 927,991 "," 869,767 "," 768,486 "," 546,437 "," 319,156 "," 268,252 "," 155,913 "," 68,318 "," 17,573 "," 2,639 "
, 計 ," 4,008,113 "," 23,918 "," 115,809 "," 26,312 "," 29,010 "," 29,355 "," 31,132 "," 176,702 "," 155,964 "," 179,909 "," 236,927 "," 271,637 "," 276,693 "," 308,268 "," 356,108 "," 322,471 "," 311,675 "," 321,063 "," 301,031 "," 265,690 "," 177,257 "," 89,882 "," 63,293 "," 32,225 "," 15,938 "," 4,791 ", 862 
 新 北 市 , 男 ," 1,957,337 "," 12,327 "," 59,769 "," 13,576 "," 15,091 "," 15,108 "," 15,994 "," 91,377 "," 81,195 "," 94,192 "," 123,212 "," 140,878 "," 142,480 "," 153,190 "," 174,431 "," 156,514 "," 148,440 "," 148,904 "," 138,428 "," 121,825 "," 81,352 "," 40,123 "," 25,894 "," 12,736 "," 7,358 "," 2,265 ", 447 
, 女 ," 2,050,776 "," 11,591 "," 56,040 "," 12,736 "," 13,919 "," 14,247 "," 15,138 "," 85,325 "," 74,769 "," 85,717 "," 113,715 "," 130,759 "," 134,213 "," 155,078 "," 181,677 "," 165,957 "," 163,235 "," 172,159 "," 162,603 "," 143,865 "," 95,905 "," 49,759 "," 37,399 "," 19,489 "," 8,580 "," 2,526 ", 415 
, 計 ," 2,524,393 "," 15,944 "," 82,521 "," 17,847 "," 20,079 "," 21,213 "," 23,382 "," 121,103 "," 106,872 "," 102,792 "," 126,745 "," 144,165 "," 156,202 "," 190,613 "," 214,376 "," 193,502 "," 188,704 "," 190,668 "," 186,080 "," 177,502 "," 134,971 "," 75,060 "," 57,776 "," 33,793 "," 18,256 "," 5,667 "," 1,081 "
 臺 北 市 , 男 ," 1,201,966 "," 8,202 "," 42,552 "," 9,337 "," 10,303 "," 10,926 "," 11,986 "," 62,650 "," 55,627 "," 53,707 "," 65,652 "," 73,261 "," 76,353 "," 89,662 "," 100,251 "," 89,917 "," 87,070 "," 88,168 "," 85,434 "," 81,953 "," 60,881 "," 32,908 "," 23,181 "," 13,210 "," 8,201 "," 2,596 ", 530 
