 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,
,,,,,, 中華民國111年底 ,,,,,,,,,,,,,, 中華民國111年底 ,,,,,,,,   單位：人 ,
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ ,
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,
, 計 ," 23,264,640 "," 131,608 "," 680,125 "," 158,940 "," 163,232 "," 176,581 "," 181,372 "," 1,021,031 "," 986,405 "," 1,054,401 "," 1,345,864 "," 1,591,927 "," 1,589,933 "," 1,672,483 "," 2,009,683 "," 1,827,312 "," 1,770,183 "," 1,782,312 "," 1,715,580 "," 1,489,738 "," 1,115,706 "," 593,730 "," 468,252 "," 262,833 "," 119,210 "," 31,423 "," 4,901 ",
 總　　計 , 男 ," 11,499,136 "," 68,164 "," 352,004 "," 82,066 "," 84,731 "," 91,500 "," 93,707 "," 528,980 "," 512,976 "," 551,330 "," 701,233 "," 824,703 "," 823,488 "," 839,523 "," 990,550 "," 893,304 "," 864,564 "," 868,925 "," 827,663 "," 706,423 "," 518,346 "," 264,996 "," 195,255 "," 101,502 "," 49,654 "," 13,356 "," 2,197 ",
, 女 ," 11,765,504 "," 63,444 "," 328,121 "," 76,874 "," 78,501 "," 85,081 "," 87,665 "," 492,051 "," 473,429 "," 503,071 "," 644,631 "," 767,224 "," 766,445 "," 832,960 "," 1,019,133 "," 934,008 "," 905,619 "," 913,387 "," 887,917 "," 783,315 "," 597,360 "," 328,734 "," 272,997 "," 161,331 "," 69,556 "," 18,067 "," 2,704 ",
, 計 ," 3,995,551 "," 20,912 "," 110,525 "," 26,053 "," 26,410 "," 28,820 "," 29,242 "," 168,808 "," 160,566 "," 173,437 "," 223,214 "," 269,205 "," 277,959 "," 291,517 "," 358,229 "," 328,244 "," 311,231 "," 314,134 "," 306,210 "," 269,523 "," 196,059 "," 95,460 "," 65,984 "," 33,225 "," 15,522 "," 4,683 ", 904 ,
 新 北 市 , 男 ," 1,946,890 "," 10,833 "," 56,979 "," 13,425 "," 13,640 "," 14,927 "," 14,987 "," 87,184 "," 83,416 "," 90,780 "," 116,330 "," 139,364 "," 143,769 "," 145,583 "," 175,576 "," 159,022 "," 148,182 "," 145,623 "," 140,562 "," 122,795 "," 89,175 "," 42,693 "," 26,974 "," 12,550 "," 6,904 "," 2,134 ", 462 ,
, 女 ," 2,048,661 "," 10,079 "," 53,546 "," 12,628 "," 12,770 "," 13,893 "," 14,255 "," 81,624 "," 77,150 "," 82,657 "," 106,884 "," 129,841 "," 134,190 "," 145,934 "," 182,653 "," 169,222 "," 163,049 "," 168,511 "," 165,648 "," 146,728 "," 106,884 "," 52,767 "," 39,010 "," 20,675 "," 8,618 "," 2,549 ", 442 ,
, 計 ," 2,480,681 "," 13,411 "," 74,131 "," 16,694 "," 17,530 "," 19,392 "," 20,515 "," 114,507 "," 110,160 "," 99,673 "," 118,120 "," 142,017 "," 152,088 "," 174,719 "," 213,374 "," 192,569 "," 185,892 "," 186,125 "," 185,301 "," 177,369 "," 144,605 "," 78,804 "," 59,343 "," 33,927 "," 17,894 "," 5,574 "," 1,078 ",
 臺 北 市 , 男 ," 1,177,022 "," 6,867 "," 38,280 "," 8,572 "," 9,131 "," 9,937 "," 10,640 "," 59,131 "," 57,238 "," 51,935 "," 61,310 "," 72,048 "," 74,701 "," 81,984 "," 99,771 "," 89,403 "," 85,407 "," 85,667 "," 84,857 "," 81,192 "," 65,221 "," 34,548 "," 23,939 "," 12,801 "," 7,699 "," 2,485 ", 538 ,
