 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,
,,,,,, 中華民國114年底 ,,,,,,,,,,,,,, 中華民國114年底 ,,,,,,,   單位：人 ,,
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ ,
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,,
, 計 ," 23,299,132 "," 104,349 "," 579,663 "," 139,194 "," 138,064 "," 141,500 "," 160,905 "," 934,797 "," 1,063,081 "," 973,102 "," 1,151,604 "," 1,490,694 "," 1,594,976 "," 1,583,814 "," 1,888,913 "," 1,998,348 "," 1,733,442 "," 1,764,913 "," 1,764,281 "," 1,600,091 "," 1,342,463 "," 797,559 "," 469,499 "," 298,286 "," 124,137 "," 35,592 "," 5,528 ",
 總　　計 , 男 ," 11,462,401 "," 53,969 "," 299,644 "," 72,018 "," 71,437 "," 73,181 "," 83,008 "," 483,955 "," 550,471 "," 507,119 "," 600,272 "," 773,172 "," 823,739 "," 808,771 "," 934,500 "," 978,049 "," 840,213 "," 856,943 "," 847,888 "," 755,618 "," 619,521 "," 356,952 "," 196,895 "," 113,102 "," 44,864 "," 14,323 "," 2,421 ",
, 女 ," 11,836,731 "," 50,380 "," 280,019 "," 67,176 "," 66,627 "," 68,319 "," 77,897 "," 450,842 "," 512,610 "," 465,983 "," 551,332 "," 717,522 "," 771,237 "," 775,043 "," 954,413 "," 1,020,299 "," 893,229 "," 907,970 "," 916,393 "," 844,473 "," 722,942 "," 440,607 "," 272,604 "," 185,184 "," 79,273 "," 21,269 "," 3,107 ",
, 計 ," 4,044,831 "," 15,955 "," 90,358 "," 20,823 "," 21,227 "," 22,610 "," 25,698 "," 152,327 "," 176,256 "," 165,012 "," 191,701 "," 250,128 "," 275,767 "," 278,898 "," 337,173 "," 364,622 "," 313,771 "," 311,271 "," 314,702 "," 289,342 "," 244,017 "," 137,899 "," 72,738 "," 40,779 "," 15,917 "," 5,181 "," 1,017 ",
 新 北 市 , 男 ," 1,961,619 "," 8,226 "," 46,454 "," 10,667 "," 10,946 "," 11,656 "," 13,185 "," 78,370 "," 91,048 "," 86,098 "," 100,288 "," 129,482 "," 142,394 "," 141,788 "," 166,462 "," 177,231 "," 149,955 "," 145,337 "," 143,859 "," 130,432 "," 109,109 "," 60,967 "," 30,476 "," 15,051 "," 5,810 "," 2,279 ", 503 ,
, 女 ," 2,083,212 "," 7,729 "," 43,904 "," 10,156 "," 10,281 "," 10,954 "," 12,513 "," 73,957 "," 85,208 "," 78,914 "," 91,413 "," 120,646 "," 133,373 "," 137,110 "," 170,711 "," 187,391 "," 163,816 "," 165,934 "," 170,843 "," 158,910 "," 134,908 "," 76,932 "," 42,262 "," 25,728 "," 10,107 "," 2,902 ", 514 ,
, 計 ," 2,439,507 "," 11,341 "," 60,562 "," 14,917 "," 14,354 "," 14,511 "," 16,780 "," 100,344 "," 119,651 "," 95,279 "," 97,593 "," 128,340 "," 145,712 "," 156,863 "," 193,507 "," 202,121 "," 175,415 "," 180,089 "," 182,889 "," 183,130 "," 168,256 "," 110,778 "," 62,733 "," 39,684 "," 18,032 "," 6,032 "," 1,156 ",
 臺 北 市 , 男 ," 1,148,819 "," 5,847 "," 31,004 "," 7,706 "," 7,346 "," 7,382 "," 8,570 "," 51,924 "," 61,766 "," 49,280 "," 50,540 "," 65,014 "," 71,417 "," 73,985 "," 90,254 "," 94,108 "," 81,117 "," 82,408 "," 83,423 "," 82,302 "," 75,736 "," 48,468 "," 25,941 "," 14,583 "," 6,616 "," 2,548 ", 538 ,
