city,population_110,population_114,change_amount,change_rate
臺北市,2524393,2439507,-84886,-3.36
彰化縣,1255330,1210206,-45124,-3.59
高雄市,2744691,2718545,-26146,-0.95
屏東縣,804440,782256,-22184,-2.76
嘉義縣,493316,473181,-20135,-4.08
雲林縣,670132,650989,-19143,-2.86
南投縣,484897,467881,-17016,-3.51
臺南市,1862059,1852477,-9582,-0.51
花蓮縣,321358,312807,-8551,-2.66
苗栗縣,538178,531172,-7006,-1.3
臺東縣,213386,208320,-5066,-2.37
基隆市,363977,359836,-4141,-1.14
嘉義市,264727,261592,-3135,-1.18
金門縣,141539,139313,-2226,-1.57
宜蘭縣,450692,449336,-1356,-0.3
連江縣,13645,13621,-24,-0.18
澎湖縣,106340,106716,376,0.35
新竹市,452640,455740,3100,0.68
新竹縣,575580,597235,21655,3.76
新北市,4008113,4044831,36718,0.92
臺中市,2813490,2868465,54975,1.95
桃園市,2272391,2355106,82715,3.64
