year,city,total
110,南投縣,484897
111,南投縣,479595
112,南投縣,477094
113,南投縣,472299
114,南投縣,467881
110,嘉義市,264727
111,嘉義市,262924
112,嘉義市,263584
113,嘉義市,262177
114,嘉義市,261592
110,嘉義縣,493316
111,嘉義縣,488158
112,嘉義縣,484560
113,嘉義縣,478786
114,嘉義縣,473181
110,基隆市,363977
111,基隆市,361526
112,基隆市,362255
113,基隆市,361441
114,基隆市,359836
110,宜蘭縣,450692
111,宜蘭縣,449062
112,宜蘭縣,449890
113,宜蘭縣,449212
114,宜蘭縣,449336
110,屏東縣,804440
111,屏東縣,798703
112,屏東縣,794997
113,屏東縣,789239
114,屏東縣,782256
110,彰化縣,1255330
111,彰化縣,1245239
112,彰化縣,1239048
113,彰化縣,1225675
114,彰化縣,1210206
110,新北市,4008113
111,新北市,3995551
112,新北市,4041120
113,新北市,4047001
114,新北市,4044831
110,新竹市,452640
111,新竹市,452473
112,新竹市,456475
113,新竹市,457242
114,新竹市,455740
110,新竹縣,575580
111,新竹縣,580503
112,新竹縣,589289
113,新竹縣,594641
114,新竹縣,597235
110,桃園市,2272391
111,桃園市,2281464
112,桃園市,2317445
113,桃園市,2338648
114,桃園市,2355106
110,澎湖縣,106340
111,澎湖縣,107223
112,澎湖縣,107739
113,澎湖縣,107901
114,澎湖縣,106716
110,臺中市,2813490
111,臺中市,2814459
112,臺中市,2845909
113,臺中市,2860601
114,臺中市,2868465
110,臺北市,2524393
111,臺北市,2480681
112,臺北市,2511886
113,臺北市,2490869
114,臺北市,2439507
110,臺南市,1862059
111,臺南市,1852997
112,臺南市,1859946
113,臺南市,1858651
114,臺南市,1852477
110,臺東縣,213386
111,臺東縣,212551
112,臺東縣,211544
113,臺東縣,210219
114,臺東縣,208320
110,花蓮縣,321358
111,花蓮縣,318892
112,花蓮縣,317489
113,花蓮縣,315374
114,花蓮縣,312807
110,苗栗縣,538178
111,苗栗縣,535132
112,苗栗縣,534575
113,苗栗縣,532854
114,苗栗縣,531172
110,連江縣,13645
111,連江縣,13983
112,連江縣,14039
113,連江縣,13950
114,連江縣,13621
110,金門縣,141539
111,金門縣,141295
112,金門縣,144149
113,金門縣,143601
114,金門縣,139313
110,雲林縣,670132
111,雲林縣,664092
112,雲林縣,659468
113,雲林縣,658427
114,雲林縣,650989
110,高雄市,2744691
111,高雄市,2728137
112,高雄市,2737941
113,高雄市,2731412
114,高雄市,2718545
